Epoch,DeviceID,AnomalyScore,BehavioralTrust,TrustScore,GraphRisk,FinalRisk,Triggered,TriggerReason,Quarantined,DetectionEpoch,Configuration
1,user_0_phone,0.1244,0.8756,0.98,0.0,0.0835,False,Device is trust-compliant.,False,,hmm_only
1,user_0_laptop_1,0.1384,0.8616,0.98,0.0,0.1115,False,Device is trust-compliant.,False,,hmm_only
1,silent_forgotten_tablet,0.0396,0.9604,0.995,0.0,0.0307,False,Device is trust-compliant.,False,,hmm_only
2,user_0_phone,1.0,0.0,0.8387,0.0,0.8233,True,Behavioral anomaly detected (Risk: 0.82 >= 0.65),True,2,hmm_only
2,user_0_laptop_1,1.0,0.0,0.7577,0.0,0.8112,True,Behavioral anomaly detected (Risk: 0.81 >= 0.65),True,2,hmm_only
2,silent_forgotten_tablet,0.0788,0.9212,0.9902,0.0,0.0519,False,Device is trust-compliant.,False,,hmm_only
3,silent_forgotten_tablet,0.0346,0.9654,0.9857,0.0,0.0383,False,Device is trust-compliant.,False,,hmm_only
4,silent_forgotten_tablet,0.0328,0.9672,0.9815,0.0,0.0369,False,Device is trust-compliant.,False,,hmm_only
5,silent_forgotten_tablet,0.0199,0.9801,0.9774,0.0,0.023,True,Inactivity timer expired (Epoch Gap: 5 >= 5),True,5,hmm_only
10,rogue_client_0,0.1172,0.8828,1.0,0.0,0.0948,False,Device is trust-compliant.,False,,hmm_only
11,rogue_client_0,0.0,1.0,1.0,0.0,0.5498,False,Device is trust-compliant.,False,,hmm_only
12,rogue_client_0,0.0,1.0,1.0,0.0,0.5498,False,Device is trust-compliant.,False,,hmm_only
13,rogue_client_0,0.0,1.0,1.0,0.0,0.5498,False,Device is trust-compliant.,False,,hmm_only
14,rogue_client_0,0.0,1.0,1.0,0.0,0.5498,False,Device is trust-compliant.,False,,hmm_only
15,rogue_client_0,0.0,1.0,0.9846,0.0,0.546,False,Device is trust-compliant.,False,,hmm_only
16,rogue_client_0,0.0,1.0,0.9905,0.0,0.5475,False,Device is trust-compliant.,False,,hmm_only
17,rogue_client_0,0.0,1.0,0.9248,0.0,0.5312,False,Device is trust-compliant.,False,,hmm_only
18,rogue_client_0,0.0,1.0,0.9537,0.0,0.5383,False,Device is trust-compliant.,False,,hmm_only
19,rogue_client_0,0.0,1.0,0.9715,0.0,0.5428,False,Device is trust-compliant.,False,,hmm_only
20,rogue_client_0,0.0,1.0,0.9824,0.0,0.5455,False,Device is trust-compliant.,False,,hmm_only
21,rogue_client_0,0.0,1.0,0.9892,0.0,0.5472,False,Device is trust-compliant.,False,,hmm_only
22,rogue_client_0,0.0,1.0,0.9779,0.0,0.5444,False,Device is trust-compliant.,False,,hmm_only
23,rogue_client_0,0.0,1.0,0.9864,0.0,0.5465,False,Device is trust-compliant.,False,,hmm_only
24,rogue_client_0,0.0,1.0,0.9916,0.0,0.5478,False,Device is trust-compliant.,False,,hmm_only
25,rogue_client_0,0.0,1.0,0.9794,0.0,0.5447,False,Device is trust-compliant.,False,,hmm_only
26,rogue_client_0,0.0,1.0,0.918,0.0,0.5295,False,Device is trust-compliant.,False,,hmm_only
27,rogue_client_0,0.0,1.0,0.9444,0.0,0.536,False,Device is trust-compliant.,False,,hmm_only
28,rogue_client_0,0.0,1.0,0.9504,0.0,0.5375,False,Device is trust-compliant.,False,,hmm_only
29,rogue_client_0,0.0,1.0,0.9694,0.0,0.5422,False,Device is trust-compliant.,False,,hmm_only
30,rogue_client_0,0.0,1.0,0.9812,0.0,0.5452,False,Device is trust-compliant.,False,,hmm_only
31,rogue_client_0,0.0,1.0,0.973,0.0,0.5431,False,Device is trust-compliant.,False,,hmm_only
32,rogue_client_0,0.0,1.0,0.973,0.0,0.5431,False,Device is trust-compliant.,False,,hmm_only
33,rogue_client_0,0.0,1.0,0.9834,0.0,0.5457,False,Device is trust-compliant.,False,,hmm_only
34,rogue_client_0,0.0,1.0,0.9744,0.0,0.5435,False,Device is trust-compliant.,False,,hmm_only
