Epoch,DeviceID,Type,HMM_State,AnomalyScore,BehavioralTrust,TrustScore,GraphRisk,FinalRisk,Triggered,TriggerReason,Quarantined,DetectionEpoch
1,user_0_phone,primary,Idle,0.1109,0.8891,0.98,0.0249,0.0765,False,Device is trust-compliant.,False,
1,user_0_laptop_1,linked,Normal,0.0546,0.9454,1.0,0.0379,0.0479,False,Device is trust-compliant.,False,
1,silent_forgotten_tablet,linked,Idle,0.0419,0.9581,0.995,0.0107,0.0294,False,Device is trust-compliant.,False,
2,user_0_phone,primary,High-Risk,1.0,0.0,0.8387,0.0421,0.8352,True,Behavioral anomaly detected (Risk: 0.84 >= 0.65),True,2
2,user_0_laptop_1,linked,High-Risk,1.0,0.0,0.7546,0.0555,0.8272,True,Behavioral anomaly detected (Risk: 0.83 >= 0.65),True,2
2,silent_forgotten_tablet,linked,Idle,0.0398,0.9602,0.9902,0.0221,0.0327,False,Device is trust-compliant.,False,
3,silent_forgotten_tablet,linked,Idle,0.0345,0.9655,0.9857,0.0162,0.0272,False,Device is trust-compliant.,False,
4,silent_forgotten_tablet,linked,Idle,0.0263,0.9737,0.9815,0.0296,0.0276,False,Device is trust-compliant.,False,
5,silent_forgotten_tablet,linked,Idle,0.0267,0.9733,0.9774,0.027,0.0268,True,Inactivity timer expired (Epoch Gap: 5 >= 5),True,5
10,rogue_client_0,linked,Normal,0.1631,0.8369,1.0,0.0746,0.1321,False,Device is trust-compliant.,False,
11,rogue_client_0,linked,Normal,0.0,1.0,1.0,0.0467,0.5729,False,Device is trust-compliant.,False,
12,rogue_client_0,linked,Normal,0.0,1.0,0.9846,0.114,0.6017,False,Device is trust-compliant.,False,
13,rogue_client_0,linked,Normal,0.0,1.0,0.9335,0.1458,0.6047,False,Device is trust-compliant.,False,
14,rogue_client_0,linked,Normal,0.0,1.0,0.9436,0.103,0.5865,False,Device is trust-compliant.,False,
15,rogue_client_0,linked,Normal,0.0,1.0,0.9653,0.1205,0.6002,False,Device is trust-compliant.,False,
16,rogue_client_0,linked,Normal,0.0,1.0,0.9786,0.1372,0.6114,False,Device is trust-compliant.,False,
17,rogue_client_0,linked,Normal,0.0,1.0,0.9304,0.1497,0.6058,False,Device is trust-compliant.,False,
18,rogue_client_0,linked,Normal,0.0,1.0,0.9417,0.1133,0.591,False,Device is trust-compliant.,False,
19,rogue_client_0,linked,Normal,0.0,1.0,0.9641,0.0924,0.5863,False,Device is trust-compliant.,False,
20,rogue_client_0,linked,Normal,0.0,1.0,0.9683,0.0601,0.5716,False,Device is trust-compliant.,False,
21,rogue_client_0,linked,Normal,0.0,1.0,0.9835,0.0631,0.5768,False,Device is trust-compliant.,False,
22,rogue_client_0,linked,Normal,0.0,1.0,0.9329,0.1187,0.5915,False,Device is trust-compliant.,False,
23,rogue_client_0,linked,Normal,0.0,1.0,0.9433,0.1033,0.5866,False,Device is trust-compliant.,False,
24,rogue_client_0,linked,Normal,0.0,1.0,0.9705,0.0855,0.5846,False,Device is trust-compliant.,False,
25,rogue_client_0,linked,Normal,0.0,1.0,0.9717,0.1004,0.592,False,Device is trust-compliant.,False,
26,rogue_client_0,linked,Normal,0.0,1.0,0.9853,0.0609,0.5762,False,Device is trust-compliant.,False,
27,rogue_client_0,linked,Normal,0.0,1.0,0.9909,0.1379,0.6146,False,Device is trust-compliant.,False,
28,rogue_client_0,linked,Normal,0.0,1.0,0.9944,0.0596,0.5777,False,Device is trust-compliant.,False,
29,rogue_client_0,linked,Normal,0.0,1.0,0.9966,0.0572,0.5771,False,Device is trust-compliant.,False,
30,rogue_client_0,linked,Normal,0.0,1.0,0.9825,0.1244,0.6062,False,Device is trust-compliant.,False,
31,rogue_client_0,linked,Normal,0.0,1.0,0.9909,0.0654,0.5797,False,Device is trust-compliant.,False,
32,rogue_client_0,linked,Normal,0.0,1.0,0.9944,0.076,0.5857,False,Device is trust-compliant.,False,
33,rogue_client_0,linked,Normal,0.0,1.0,0.9971,0.06,0.5786,False,Device is trust-compliant.,False,
34,rogue_client_0,linked,Normal,0.0,1.0,0.9982,0.0989,0.5977,False,Device is trust-compliant.,False,
35,rogue_client_0,linked,Normal,0.0,1.0,0.9991,0.1452,0.62,False,Device is trust-compliant.,False,
36,rogue_client_0,linked,Normal,0.0,1.0,0.9994,0.0701,0.5841,False,Device is trust-compliant.,False,
37,rogue_client_0,linked,Normal,0.0,1.0,0.9996,0.1335,0.6146,False,Device is trust-compliant.,False,
38,rogue_client_0,linked,Normal,0.0,1.0,0.9305,0.0773,0.5708,False,Device is trust-compliant.,False,
39,rogue_client_0,linked,Normal,0.0,1.0,0.9418,0.0944,0.5819,False,Device is trust-compliant.,False,
40,rogue_client_0,linked,Normal,0.0,1.0,0.9567,0.0548,0.5662,False,Device is trust-compliant.,False,
