Epoch,Scenario,DeviceID,HMM_State,AnomalyScore,BehavioralTrust,TrustScore,GraphRisk,FinalRisk,Triggered,TriggerReason,Quarantined,DetectionEpoch
1,Normal Usage,phone,Idle,0.1396,0.8604,0.98,0.0395,0.0996,False,trust-compliant,False,
1,Normal Usage,laptop,Idle,0.0938,0.9062,0.98,0.0746,0.0861,False,trust-compliant,False,
2,Normal Usage,phone,High-Risk,1.0,0.0,0.7865,1.0,0.9703,False,trust-compliant,False,
2,Normal Usage,laptop,High-Risk,1.0,0.0,0.7577,1.0,0.9695,False,trust-compliant,False,
3,Normal Usage,phone,High-Risk,1.0,0.0,0.7048,1.0,0.9679,False,trust-compliant,False,
3,Normal Usage,laptop,High-Risk,1.0,0.0,0.6053,1.0,0.9646,False,trust-compliant,False,
4,Normal Usage,phone,High-Risk,1.0,0.0,0.5813,1.0,0.9638,False,trust-compliant,False,
4,Normal Usage,laptop,High-Risk,1.0,0.0,0.5115,1.0,0.9613,False,trust-compliant,False,
5,Normal Usage,phone,High-Risk,1.0,0.0,0.5653,1.0,0.9632,False,trust-compliant,False,
5,Normal Usage,laptop,High-Risk,1.0,0.0,0.4691,1.0,0.9597,True,Inactivity timer expired,True,5
6,Normal Usage,phone,High-Risk,1.0,0.0,0.5544,1.0,0.9628,False,trust-compliant,False,
7,Normal Usage,phone,High-Risk,1.0,0.0,0.547,1.0,0.9626,False,trust-compliant,False,
8,Normal Usage,phone,High-Risk,1.0,0.0,0.542,1.0,0.9624,False,trust-compliant,False,
9,Normal Usage,phone,High-Risk,1.0,0.0,0.4706,1.0,0.9597,False,trust-compliant,False,
10,Normal Usage,phone,High-Risk,1.0,0.0,0.49,1.0,0.9605,False,trust-compliant,False,
11,Normal Usage,phone,High-Risk,1.0,0.0,0.5032,1.0,0.961,True,Behavioral anomaly detected (Risk: 0.96 >= 0.65),True,11
1,Normal Usage,phone,Idle,0.1164,0.8836,0.98,0.0653,0.096,False,trust-compliant,False,
1,Normal Usage,laptop,Idle,0.1415,0.8585,0.98,0.039,0.1005,False,trust-compliant,False,
2,Normal Usage,phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,
2,Normal Usage,laptop,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,
3,Normal Usage,phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,
3,Normal Usage,laptop,High-Risk,1.0,0.0,0.6113,1.0,0.9648,False,trust-compliant,False,
4,Normal Usage,phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,
4,Normal Usage,laptop,High-Risk,1.0,0.0,0.5152,1.0,0.9614,False,trust-compliant,False,
5,Normal Usage,phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5
5,Normal Usage,laptop,High-Risk,1.0,0.0,0.456,1.0,0.9591,True,Inactivity timer expired,True,5
1,Normal Usage,phone,Idle,0.0959,0.9041,0.98,0.0526,0.0786,False,trust-compliant,False,
1,Normal Usage,laptop,Idle,0.0567,0.9433,0.98,0.0302,0.0461,False,trust-compliant,False,
2,Normal Usage,phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,
2,Normal Usage,laptop,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,
3,Normal Usage,phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,
3,Normal Usage,laptop,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,
4,Normal Usage,phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,
4,Normal Usage,laptop,High-Risk,1.0,0.0,0.5057,1.0,0.961,False,trust-compliant,False,
5,Normal Usage,phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5
5,Normal Usage,laptop,High-Risk,1.0,0.0,0.4501,1.0,0.9589,True,Inactivity timer expired,True,5
1,Normal Usage,phone,Idle,0.1071,0.8929,0.98,0.0469,0.083,False,trust-compliant,False,
1,Normal Usage,laptop,Idle,0.0985,0.9015,0.98,0.0635,0.0845,False,trust-compliant,False,
2,Normal Usage,phone,High-Risk,1.0,0.0,0.8561,1.0,0.9722,False,trust-compliant,False,
2,Normal Usage,laptop,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,
3,Normal Usage,phone,High-Risk,1.0,0.0,0.7698,1.0,0.9698,False,trust-compliant,False,
3,Normal Usage,laptop,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,
4,Normal Usage,phone,High-Risk,1.0,0.0,0.6924,1.0,0.9675,False,trust-compliant,False,
4,Normal Usage,laptop,High-Risk,1.0,0.0,0.5057,1.0,0.961,False,trust-compliant,False,
5,Normal Usage,phone,High-Risk,1.0,0.0,0.6385,1.0,0.9657,True,Inactivity timer expired,True,5
5,Normal Usage,laptop,High-Risk,1.0,0.0,0.4501,1.0,0.9589,True,Inactivity timer expired,True,5
1,Normal Usage,phone,Idle,0.0564,0.9436,0.98,0.0362,0.0483,False,trust-compliant,False,
1,Normal Usage,laptop,Normal,0.057,0.943,1.0,0.0576,0.0572,False,trust-compliant,False,
2,Normal Usage,phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,
2,Normal Usage,laptop,High-Risk,1.0,0.0,0.7546,1.0,0.9694,False,trust-compliant,False,
3,Normal Usage,phone,High-Risk,1.0,0.0,0.7577,1.0,0.9695,False,trust-compliant,False,
3,Normal Usage,laptop,High-Risk,1.0,0.0,0.6034,1.0,0.9645,False,trust-compliant,False,
4,Normal Usage,phone,High-Risk,1.0,0.0,0.684,1.0,0.9672,False,trust-compliant,False,
4,Normal Usage,laptop,High-Risk,1.0,0.0,0.5103,1.0,0.9612,False,trust-compliant,False,
5,Normal Usage,phone,High-Risk,1.0,0.0,0.6327,1.0,0.9655,True,Inactivity timer expired,True,5
5,Normal Usage,laptop,High-Risk,1.0,0.0,0.4683,1.0,0.9596,True,Inactivity timer expired,True,5
1,Normal Usage,phone,Idle,0.0598,0.9402,0.98,0.0363,0.0504,False,trust-compliant,False,
1,Normal Usage,laptop,Idle,0.0932,0.9068,0.98,0.0283,0.0673,False,trust-compliant,False,
2,Normal Usage,phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,
2,Normal Usage,laptop,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,
3,Normal Usage,phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,
3,Normal Usage,laptop,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,
4,Normal Usage,phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,
4,Normal Usage,laptop,High-Risk,1.0,0.0,0.5211,1.0,0.9616,False,trust-compliant,False,
5,Normal Usage,phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5
5,Normal Usage,laptop,High-Risk,1.0,0.0,0.4596,1.0,0.9593,True,Inactivity timer expired,True,5
1,Normal Usage,phone,Idle,0.1004,0.8996,0.98,0.0548,0.0822,False,trust-compliant,False,
1,Normal Usage,laptop,Idle,0.1325,0.8675,0.98,0.0522,0.1004,False,trust-compliant,False,
2,Normal Usage,phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,
2,Normal Usage,laptop,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,
3,Normal Usage,phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,
3,Normal Usage,laptop,High-Risk,1.0,0.0,0.6113,1.0,0.9648,False,trust-compliant,False,
4,Normal Usage,phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,
4,Normal Usage,laptop,High-Risk,1.0,0.0,0.5152,1.0,0.9614,False,trust-compliant,False,
5,Normal Usage,phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5
5,Normal Usage,laptop,High-Risk,1.0,0.0,0.456,1.0,0.9591,True,Inactivity timer expired,True,5
1,Normal Usage,phone,Idle,0.0673,0.9327,0.98,0.0591,0.064,False,trust-compliant,False,
1,Normal Usage,laptop,Idle,0.0819,0.9181,0.98,0.049,0.0687,False,trust-compliant,False,
2,Normal Usage,phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,
2,Normal Usage,laptop,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,
3,Normal Usage,phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,
3,Normal Usage,laptop,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,
4,Normal Usage,phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,
4,Normal Usage,laptop,High-Risk,1.0,0.0,0.5057,1.0,0.961,False,trust-compliant,False,
5,Normal Usage,phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5
5,Normal Usage,laptop,High-Risk,1.0,0.0,0.4501,1.0,0.9589,True,Inactivity timer expired,True,5
1,Normal Usage,phone,Idle,0.1365,0.8635,0.98,0.04,0.0979,False,trust-compliant,False,
1,Normal Usage,laptop,Idle,0.0703,0.9297,0.98,0.0323,0.0551,False,trust-compliant,False,
2,Normal Usage,phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,
2,Normal Usage,laptop,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,
3,Normal Usage,phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,
3,Normal Usage,laptop,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,
4,Normal Usage,phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,
4,Normal Usage,laptop,High-Risk,1.0,0.0,0.5057,1.0,0.961,False,trust-compliant,False,
5,Normal Usage,phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5
5,Normal Usage,laptop,High-Risk,1.0,0.0,0.4501,1.0,0.9589,True,Inactivity timer expired,True,5
1,Normal Usage,phone,Idle,0.0907,0.9093,0.98,0.0552,0.0765,False,trust-compliant,False,
1,Normal Usage,laptop,Idle,0.107,0.893,0.98,0.018,0.0714,False,trust-compliant,False,
2,Normal Usage,phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,
2,Normal Usage,laptop,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,
3,Normal Usage,phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,
3,Normal Usage,laptop,High-Risk,1.0,0.0,0.6113,1.0,0.9648,False,trust-compliant,False,
4,Normal Usage,phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,
4,Normal Usage,laptop,High-Risk,1.0,0.0,0.5152,1.0,0.9614,False,trust-compliant,False,
5,Normal Usage,phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5
5,Normal Usage,laptop,High-Risk,1.0,0.0,0.456,1.0,0.9591,True,Inactivity timer expired,True,5
1,Legitimate Travel,phone,Idle,0.096,0.904,0.98,0.011,0.062,False,trust-compliant,False,
1,Legitimate Travel,laptop,Idle,0.1443,0.8557,0.98,0.0284,0.0979,False,trust-compliant,False,
2,Legitimate Travel,phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,
2,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,
3,Legitimate Travel,phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,
3,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,
4,Legitimate Travel,phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,
4,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.5057,1.0,0.961,False,trust-compliant,False,
5,Legitimate Travel,phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5
5,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.4501,1.0,0.9589,True,Inactivity timer expired,True,5
1,Legitimate Travel,phone,Idle,0.1102,0.8898,0.98,0.0588,0.0896,False,trust-compliant,False,
1,Legitimate Travel,laptop,Idle,0.0583,0.9417,0.98,0.0613,0.0595,False,trust-compliant,False,
2,Legitimate Travel,phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,
2,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.7577,1.0,0.9695,False,trust-compliant,False,
3,Legitimate Travel,phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,
3,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.6053,1.0,0.9646,False,trust-compliant,False,
4,Legitimate Travel,phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,
4,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.5115,1.0,0.9613,False,trust-compliant,False,
5,Legitimate Travel,phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5
5,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.4537,1.0,0.9591,True,Inactivity timer expired,True,5
1,Legitimate Travel,phone,Idle,0.132,0.868,0.98,0.0776,0.1102,False,trust-compliant,False,
1,Legitimate Travel,laptop,Idle,0.0524,0.9476,0.98,0.0486,0.0509,False,trust-compliant,False,
2,Legitimate Travel,phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,
2,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,
3,Legitimate Travel,phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,
3,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,
4,Legitimate Travel,phone,High-Risk,1.0,0.0,0.6892,1.0,0.9674,False,trust-compliant,False,
4,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.5057,1.0,0.961,False,trust-compliant,False,
5,Legitimate Travel,phone,High-Risk,1.0,0.0,0.6363,1.0,0.9657,True,Inactivity timer expired,True,5
5,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.3934,1.0,0.9566,False,trust-compliant,False,
6,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.386,1.0,0.9563,False,trust-compliant,False,
7,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.3816,1.0,0.9561,False,trust-compliant,False,
8,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.319,1.0,0.9534,False,trust-compliant,False,
9,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.2814,1.0,0.9517,False,trust-compliant,False,
10,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.3188,1.0,0.9534,False,trust-compliant,False,
11,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.3413,1.0,0.9544,True,Behavioral anomaly detected (Risk: 0.95 >= 0.65),True,11
1,Legitimate Travel,phone,Idle,0.0922,0.9078,0.98,0.07,0.0833,False,trust-compliant,False,
1,Legitimate Travel,laptop,Idle,0.0519,0.9481,0.98,0.046,0.0496,False,trust-compliant,False,
2,Legitimate Travel,phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,
2,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,
3,Legitimate Travel,phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,
3,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,
4,Legitimate Travel,phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,
4,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.5211,1.0,0.9616,False,trust-compliant,False,
5,Legitimate Travel,phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5
5,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.4596,1.0,0.9593,True,Inactivity timer expired,True,5
1,Legitimate Travel,phone,Idle,0.0908,0.9092,0.98,0.0636,0.0799,False,trust-compliant,False,
1,Legitimate Travel,laptop,Suspicious,0.4787,0.5213,0.92,0.0659,0.3136,False,trust-compliant,False,
2,Legitimate Travel,phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,
2,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.7207,1.0,0.9683,False,trust-compliant,False,
3,Legitimate Travel,phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,
3,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.5826,1.0,0.9638,False,trust-compliant,False,
4,Legitimate Travel,phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,
4,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.4513,1.0,0.959,False,trust-compliant,False,
5,Legitimate Travel,phone,High-Risk,1.0,0.0,0.6268,1.0,0.9653,False,trust-compliant,False,
5,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.4166,1.0,0.9576,True,Inactivity timer expired,True,5
6,Legitimate Travel,phone,Suspicious,1.0,0.0,0.5962,1.0,0.9643,False,trust-compliant,False,
7,Legitimate Travel,phone,High-Risk,1.0,0.0,0.5074,1.0,0.9611,False,trust-compliant,False,
8,Legitimate Travel,phone,High-Risk,1.0,0.0,0.515,1.0,0.9614,False,trust-compliant,False,
9,Legitimate Travel,phone,High-Risk,1.0,0.0,0.5202,1.0,0.9616,False,trust-compliant,False,
10,Legitimate Travel,phone,High-Risk,1.0,0.0,0.5237,1.0,0.9617,False,trust-compliant,False,
11,Legitimate Travel,phone,High-Risk,1.0,0.0,0.5261,1.0,0.9618,True,Behavioral anomaly detected (Risk: 0.96 >= 0.65),True,11
1,Legitimate Travel,phone,Idle,0.079,0.921,0.98,0.0328,0.0605,False,trust-compliant,False,
1,Legitimate Travel,laptop,Normal,0.0295,0.9705,1.0,0.053,0.0389,False,trust-compliant,False,
2,Legitimate Travel,phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,
2,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.7546,1.0,0.9694,False,trust-compliant,False,
3,Legitimate Travel,phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,
3,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.6034,1.0,0.9645,False,trust-compliant,False,
4,Legitimate Travel,phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,
4,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.5103,1.0,0.9612,False,trust-compliant,False,
5,Legitimate Travel,phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5
5,Legitimate Travel,laptop,High-Risk,1.0,0.0,0.4529,1.0,0.959,True,Inactivity timer expired,True,5
1,Legitimate Travel,phone,Normal,0.0688,0.9312,1.0,0.0146,0.0471,False,trust-compliant,False,
