Epoch,AttackerStrategy,DeviceID,HMM_State,AnomalyScore,BehavioralTrust,TrustScore,GraphRisk,FinalRisk,Triggered,TriggerReason,Quarantined,DetectionEpoch,DetectionTime
1,STEALTH,user_0_phone,Idle,0.0686,0.9314,0.98,0.0426,0.0582,False,trust-compliant,False,,-1
1,STEALTH,user_0_laptop_1,Idle,0.0869,0.9131,0.98,0.0636,0.0776,False,trust-compliant,False,,-1
2,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,,-1
2,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,,-1
3,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,,-1
3,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,,-1
4,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,,-1
4,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.5057,1.0,0.961,False,trust-compliant,False,,-1
5,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5,-1
5,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.4501,1.0,0.9589,True,Inactivity timer expired,True,5,-1
10,STEALTH,rogue_laptop,Normal,0.0732,0.9268,1.0,0.0953,0.0809,False,trust-compliant,False,,-1
11,STEALTH,rogue_laptop,Normal,0.0,1.0,1.0,1.0,0.9002,True,Behavioral anomaly detected (Risk: 0.90 >= 0.65),True,11,1
1,STEALTH,user_0_phone,Idle,0.0699,0.9301,0.98,0.0166,0.0486,False,trust-compliant,False,,-1
1,STEALTH,user_0_laptop_1,Idle,0.0524,0.9476,0.98,0.0188,0.039,False,trust-compliant,False,,-1
2,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,,-1
2,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,,-1
3,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,,-1
3,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,,-1
4,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,,-1
4,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.5057,1.0,0.961,False,trust-compliant,False,,-1
5,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.6242,1.0,0.9652,True,Inactivity timer expired,True,5,-1
5,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.4501,1.0,0.9589,True,Inactivity timer expired,True,5,-1
10,STEALTH,rogue_laptop,Normal,0.0626,0.9374,1.0,0.1273,0.0852,False,trust-compliant,False,,-1
