Epoch,DeviceID,AnomalyScore,BehavioralTrust,TrustScore,GraphRisk,FinalRisk,Triggered,TriggerReason,Quarantined,DetectionEpoch,Configuration
1,user_0_phone,0.052,0.948,0.98,0.0156,0.0374,False,Device is trust-compliant.,False,,hmm_only
1,user_0_laptop_1,0.0625,0.9375,1.0,0.0641,0.0632,False,Device is trust-compliant.,False,,hmm_only
1,silent_forgotten_tablet,0.0635,0.9365,0.995,0.0162,0.0446,False,Device is trust-compliant.,False,,hmm_only
2,user_0_phone,0.0,1.0,0.9687,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
2,user_0_laptop_1,0.0,1.0,0.9846,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
2,silent_forgotten_tablet,0.0519,0.9481,0.9902,0.0331,0.0444,False,Device is trust-compliant.,False,,hmm_only
3,user_0_phone,0.0,1.0,0.9608,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
3,user_0_laptop_1,0.0,1.0,0.9751,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
3,silent_forgotten_tablet,0.057,0.943,0.9857,0.0143,0.0399,False,Device is trust-compliant.,False,,hmm_only
4,user_0_phone,0.0,1.0,0.9553,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
4,user_0_laptop_1,0.0,1.0,0.9847,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
4,silent_forgotten_tablet,0.0353,0.9647,0.9815,0.0471,0.04,False,Device is trust-compliant.,False,,hmm_only
5,user_0_phone,0.0,1.0,0.9515,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
5,user_0_laptop_1,0.0,1.0,0.9752,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
5,silent_forgotten_tablet,0.0638,0.9362,0.9774,0.0296,0.0501,True,Inactivity timer expired (Epoch Gap: 5 >= 5),True,5,hmm_only
6,user_0_phone,0.0,1.0,0.9488,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
6,user_0_laptop_1,0.0,1.0,0.9693,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
7,user_0_phone,0.0,1.0,0.947,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
7,user_0_laptop_1,0.0,1.0,0.9657,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
8,user_0_phone,0.0,1.0,0.9631,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
8,user_0_laptop_1,0.0,1.0,0.9635,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
9,user_0_phone,0.0,1.0,0.9743,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
9,user_0_laptop_1,0.0,1.0,0.9781,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
10,user_0_phone,0.0,1.0,0.9825,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
10,user_0_laptop_1,0.0,1.0,0.9869,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
10,rogue_client_0,0.0654,0.9346,1.0,0.0787,0.07,False,Device is trust-compliant.,False,,hmm_only
11,user_0_phone,0.0,1.0,0.9881,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
11,user_0_laptop_1,0.0,1.0,0.9919,0.0314,0.0,False,Device is trust-compliant.,False,,hmm_only
11,rogue_client_0,0.0,1.0,1.0,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
12,user_0_phone,0.0,1.0,0.9749,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
12,user_0_laptop_1,0.0,1.0,0.995,0.0236,0.0,False,Device is trust-compliant.,False,,hmm_only
12,rogue_client_0,0.0,1.0,1.0,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
13,user_0_phone,0.0,1.0,0.9829,0.0248,0.0,False,Device is trust-compliant.,False,,hmm_only
13,user_0_laptop_1,0.0,1.0,0.9815,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
13,rogue_client_0,0.0,1.0,0.987,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
14,user_0_phone,0.0,1.0,0.9884,0.0244,0.0,False,Device is trust-compliant.,False,,hmm_only
