Epoch,DeviceID,Type,HMM_State,AnomalyScore,BehavioralTrust,TrustScore,GraphRisk,FinalRisk,Triggered,TriggerReason,Quarantined,DetectionEpoch
1,user_0_phone,primary,Idle,0.0602,0.9398,0.98,0.0618,0.0609,False,Device is trust-compliant.,False,
1,user_0_laptop_1,linked,Idle,0.1005,0.8995,0.98,0.0119,0.0651,False,Device is trust-compliant.,False,
1,silent_forgotten_tablet,linked,Idle,0.0555,0.9445,0.995,0.0318,0.046,False,Device is trust-compliant.,False,
2,user_0_phone,primary,Idle,0.0,1.0,0.9687,0.018,0.5664,False,Device is trust-compliant.,False,
2,user_0_laptop_1,linked,Idle,0.0,1.0,0.9723,0.018,0.5655,False,Device is trust-compliant.,False,
2,silent_forgotten_tablet,linked,Idle,0.0665,0.9335,0.9902,0.0392,0.0556,False,Device is trust-compliant.,False,
3,user_0_phone,primary,Normal,0.0,1.0,0.9608,0.018,0.5684,False,Device is trust-compliant.,False,
3,user_0_laptop_1,linked,Normal,0.0,1.0,0.9675,0.018,0.5667,False,Device is trust-compliant.,False,
3,silent_forgotten_tablet,linked,Idle,0.0171,0.9829,0.9857,0.0211,0.0187,False,Device is trust-compliant.,False,
4,user_0_phone,primary,Normal,0.0,1.0,0.9553,0.018,0.5697,False,Device is trust-compliant.,False,
4,user_0_laptop_1,linked,Normal,0.0,1.0,0.9646,0.018,0.5674,False,Device is trust-compliant.,False,
4,silent_forgotten_tablet,linked,Idle,0.049,0.951,0.9815,0.0374,0.0443,False,Device is trust-compliant.,False,
5,user_0_phone,primary,Normal,0.0,1.0,0.9515,0.018,0.5706,False,Device is trust-compliant.,False,
5,user_0_laptop_1,linked,Idle,0.0,1.0,0.9628,0.018,0.5679,False,Device is trust-compliant.,False,
5,silent_forgotten_tablet,linked,Idle,0.0285,0.9715,0.9774,0.0199,0.0251,True,Inactivity timer expired (Epoch Gap: 5 >= 5),True,5
6,user_0_phone,primary,Normal,0.0,1.0,0.9488,0.018,0.5713,False,Device is trust-compliant.,False,
6,user_0_laptop_1,linked,Normal,0.0,1.0,0.9617,0.018,0.5681,False,Device is trust-compliant.,False,
7,user_0_phone,primary,Normal,0.0,1.0,0.947,0.018,0.5718,False,Device is trust-compliant.,False,
7,user_0_laptop_1,linked,Normal,0.0,1.0,0.9148,0.018,0.5796,False,Device is trust-compliant.,False,
8,user_0_phone,primary,Normal,0.0,1.0,0.9457,0.018,0.5721,False,Device is trust-compliant.,False,
8,user_0_laptop_1,linked,Normal,0.0,1.0,0.9475,0.018,0.5716,False,Device is trust-compliant.,False,
9,user_0_phone,primary,Normal,0.0,1.0,0.9448,0.018,0.5723,False,Device is trust-compliant.,False,
9,user_0_laptop_1,linked,Normal,0.0,1.0,0.9677,0.018,0.5667,False,Device is trust-compliant.,False,
10,user_0_phone,primary,Normal,0.0,1.0,0.9616,0.018,0.5682,False,Device is trust-compliant.,False,
10,user_0_laptop_1,linked,Normal,0.0,1.0,0.9801,0.018,0.5636,False,Device is trust-compliant.,False,
10,rogue_client_0,linked,Normal,0.0742,0.9258,1.0,0.1055,0.0851,False,Device is trust-compliant.,False,
11,user_0_phone,primary,Normal,0.0,1.0,0.9733,0.018,0.5653,False,Device is trust-compliant.,False,
11,user_0_laptop_1,linked,Normal,0.0,1.0,0.9881,0.021,0.5631,False,Device is trust-compliant.,False,
11,rogue_client_0,linked,Normal,0.0,1.0,0.987,1.0,0.9014,True,Behavioral anomaly detected (Risk: 0.90 >= 0.65),True,11
12,user_0_phone,primary,Normal,0.0,1.0,0.9814,0.018,0.5633,False,Device is trust-compliant.,False,
12,user_0_laptop_1,linked,Normal,0.0,1.0,0.9929,0.0387,0.5706,False,Device is trust-compliant.,False,
13,user_0_phone,primary,Normal,0.0,1.0,0.9874,0.018,0.5618,False,Device is trust-compliant.,False,
13,user_0_laptop_1,linked,Normal,0.0,1.0,0.9956,0.0436,0.5724,False,Device is trust-compliant.,False,
14,user_0_phone,primary,Normal,0.0,1.0,0.9912,0.018,0.5609,False,Device is trust-compliant.,False,
14,user_0_laptop_1,linked,Normal,0.0,1.0,0.9974,0.0654,0.5826,False,Device is trust-compliant.,False,
15,user_0_phone,primary,Normal,0.0,1.0,0.9939,0.018,0.5602,False,Device is trust-compliant.,False,
15,user_0_laptop_1,linked,Normal,0.0,1.0,0.9984,0.0787,0.5888,False,Device is trust-compliant.,False,
16,user_0_phone,primary,Normal,0.0,1.0,0.9959,0.018,0.5597,False,Device is trust-compliant.,False,
16,user_0_laptop_1,linked,Normal,0.0,1.0,0.999,0.0372,0.5684,False,Device is trust-compliant.,False,
17,user_0_phone,primary,Normal,0.0,1.0,0.9971,0.018,0.5594,False,Device is trust-compliant.,False,
17,user_0_laptop_1,linked,Normal,0.0,1.0,0.9994,0.0355,0.5675,False,Device is trust-compliant.,False,
18,user_0_phone,primary,Normal,0.0,1.0,0.9806,0.018,0.5635,False,Device is trust-compliant.,False,
18,user_0_laptop_1,linked,Normal,0.0,1.0,0.9996,0.0316,0.5655,False,Device is trust-compliant.,False,
19,user_0_phone,primary,Normal,0.0,1.0,0.9865,0.018,0.5621,False,Device is trust-compliant.,False,
19,user_0_laptop_1,linked,Normal,0.0,1.0,0.9998,0.0285,0.5639,False,Device is trust-compliant.,False,
20,user_0_phone,primary,Normal,0.0,1.0,0.9732,0.018,0.5653,False,Device is trust-compliant.,False,
20,user_0_laptop_1,linked,Normal,0.0,1.0,0.9399,0.0255,0.5772,False,Device is trust-compliant.,False,
21,user_0_phone,primary,Normal,0.0,1.0,0.9818,0.018,0.5632,False,Device is trust-compliant.,False,
21,user_0_laptop_1,linked,Normal,0.0,1.0,0.9489,0.0243,0.5744,False,Device is trust-compliant.,False,
