Epoch,AttackerStrategy,DeviceID,HMM_State,AnomalyScore,BehavioralTrust,TrustScore,GraphRisk,FinalRisk,Triggered,TriggerReason,Quarantined,DetectionEpoch,DetectionTime
1,STEALTH,user_0_phone,Idle,0.1254,0.8746,0.98,0.0229,0.0844,False,trust-compliant,False,,-1
1,STEALTH,user_0_laptop_1,Idle,0.0587,0.9413,0.98,0.0118,0.0399,False,trust-compliant,False,,-1
2,STEALTH,user_0_phone,Normal,0.0,1.0,0.9861,0.018,0.5622,False,trust-compliant,False,,-1
2,STEALTH,user_0_laptop_1,Idle,0.0,1.0,0.9723,0.018,0.5655,False,trust-compliant,False,,-1
3,STEALTH,user_0_phone,Normal,0.0,1.0,0.9729,0.018,0.5654,False,trust-compliant,False,,-1
3,STEALTH,user_0_laptop_1,Normal,0.0,1.0,0.9675,0.018,0.5667,False,trust-compliant,False,,-1
4,STEALTH,user_0_phone,Normal,0.0,1.0,0.9637,0.018,0.5677,False,trust-compliant,False,,-1
4,STEALTH,user_0_laptop_1,Idle,0.0,1.0,0.9646,0.018,0.5674,False,trust-compliant,False,,-1
5,STEALTH,user_0_phone,Normal,0.0,1.0,0.9573,0.018,0.5692,False,trust-compliant,False,,-1
5,STEALTH,user_0_laptop_1,Idle,0.0,1.0,0.9628,0.018,0.5679,False,trust-compliant,False,,-1
6,STEALTH,user_0_phone,Idle,0.0,1.0,0.9529,0.018,0.5703,False,trust-compliant,False,,-1
6,STEALTH,user_0_laptop_1,Idle,0.0,1.0,0.9617,0.018,0.5681,False,trust-compliant,False,,-1
7,STEALTH,user_0_phone,Normal,0.0,1.0,0.9498,0.018,0.5711,False,trust-compliant,False,,-1
7,STEALTH,user_0_laptop_1,Normal,0.0,1.0,0.961,0.018,0.5683,False,trust-compliant,False,,-1
8,STEALTH,user_0_phone,Normal,0.0,1.0,0.9477,0.018,0.5716,False,trust-compliant,False,,-1
8,STEALTH,user_0_laptop_1,Normal,0.0,1.0,0.976,0.018,0.5646,False,trust-compliant,False,,-1
9,STEALTH,user_0_phone,Normal,0.0,1.0,0.9636,0.018,0.5677,False,trust-compliant,False,,-1
9,STEALTH,user_0_laptop_1,Normal,0.0,1.0,0.9852,0.018,0.5624,False,trust-compliant,False,,-1
10,STEALTH,user_0_phone,Normal,0.0,1.0,0.9752,0.018,0.5648,False,trust-compliant,False,,-1
10,STEALTH,user_0_laptop_1,Normal,0.0,1.0,0.9911,0.018,0.5609,False,trust-compliant,False,,-1
10,STEALTH,rogue_laptop,Normal,0.1741,0.8259,1.0,0.1066,0.1505,False,trust-compliant,False,,-1
11,STEALTH,user_0_phone,Normal,0.0,1.0,0.9831,0.0186,0.5632,False,Device is trust-compliant.,False,,-1
11,STEALTH,user_0_laptop_1,Normal,0.0,1.0,0.9945,0.018,0.5601,False,Device is trust-compliant.,False,,-1
11,STEALTH,rogue_laptop,Normal,0.0,1.0,1.0,1.0,0.9002,True,Behavioral anomaly detected (Risk: 0.90 >= 0.65),True,11,1
12,STEALTH,user_0_phone,Normal,0.0,1.0,0.9885,0.0199,0.5625,False,Device is trust-compliant.,False,,1
