configuration,run_id,seed,precision,recall,detection_rate,f1_score,false_positive_rate,accuracy,tp,fp,fn,tn,avg_detection_latency,avg_evasion_duration,false_quarantine_rate
hmm_only,0,3042,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
hmm_only,1,3043,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_only,2,3044,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_only,3,3045,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_only,4,3046,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_only,5,3047,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_only,6,3048,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
hmm_only,7,3049,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,1.0,1.0,0.5
hmm_only,8,3050,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
hmm_only,9,3051,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
hmm_only,10,3052,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_only,11,3053,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
hmm_only,12,3054,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
hmm_only,13,3055,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_only,14,3056,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_only,15,3057,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
hmm_only,16,3058,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_only,17,3059,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
hmm_only,18,3060,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_only,19,3061,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_plus_trust,0,3042,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_plus_trust,1,3043,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,5.0,5.0,0.0
hmm_plus_trust,2,3044,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
hmm_plus_trust,3,3045,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
hmm_plus_trust,4,3046,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
hmm_plus_trust,5,3047,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,3.0,3.0,0.0
hmm_plus_trust,6,3048,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_plus_trust,7,3049,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
hmm_plus_trust,8,3050,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_plus_trust,9,3051,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,5.0,5.0,0.0
hmm_plus_trust,10,3052,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
hmm_plus_trust,11,3053,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,7.0,7.0,0.0
hmm_plus_trust,12,3054,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
hmm_plus_trust,13,3055,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,4.0,4.0,0.0
hmm_plus_trust,14,3056,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
hmm_plus_trust,15,3057,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_plus_trust,16,3058,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
hmm_plus_trust,17,3059,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
hmm_plus_trust,18,3060,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
hmm_plus_trust,19,3061,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
hmm_plus_graph,0,3042,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
hmm_plus_graph,1,3043,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_plus_graph,2,3044,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_plus_graph,3,3045,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_plus_graph,4,3046,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_plus_graph,5,3047,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_plus_graph,6,3048,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
hmm_plus_graph,7,3049,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,2.0,2.0,0.5
hmm_plus_graph,8,3050,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
hmm_plus_graph,9,3051,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
hmm_plus_graph,10,3052,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_plus_graph,11,3053,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,6.0,6.0,0.0
hmm_plus_graph,12,3054,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_plus_graph,13,3055,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,4.0,4.0,0.0
hmm_plus_graph,14,3056,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_plus_graph,15,3057,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
hmm_plus_graph,16,3058,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_plus_graph,17,3059,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
hmm_plus_graph,18,3060,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_plus_graph,19,3061,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
full_model,0,3042,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
full_model,1,3043,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,5.0,5.0,0.0
full_model,2,3044,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
full_model,3,3045,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
full_model,4,3046,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
full_model,5,3047,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,5.0,5.0,0.0
full_model,6,3048,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
full_model,7,3049,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,2.0,2.0,0.5
full_model,8,3050,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
full_model,9,3051,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,5.0,5.0,0.0
full_model,10,3052,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
full_model,11,3053,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,8.0,8.0,0.0
full_model,12,3054,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
full_model,13,3055,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,4.0,4.0,0.0
full_model,14,3056,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
full_model,15,3057,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
full_model,16,3058,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
full_model,17,3059,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
full_model,18,3060,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
full_model,19,3061,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
