run_id,seed,mode,precision,recall,detection_rate,f1_score,false_positive_rate,accuracy,tp,fp,fn,tn,avg_detection_latency,avg_evasion_duration,false_quarantine_rate,silent_caught,silent_quarantine_epoch,rogue_caught,rogue_quarantine_epoch
0,1042,baseline,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0,True,5,False,
1,1043,baseline,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0,True,5,False,
2,1044,baseline,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0,True,5,False,
3,1045,baseline,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0,True,5,False,
4,1046,baseline,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0,True,5,False,
5,1047,baseline,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0,True,5,False,
6,1048,baseline,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0,True,5,False,
7,1049,baseline,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0,True,5,False,
8,1050,baseline,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0,True,5,False,
9,1051,baseline,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0,True,5,False,
10,1052,baseline,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0,True,5,False,
11,1053,baseline,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0,True,5,False,
12,1054,baseline,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0,True,5,False,
13,1055,baseline,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0,True,5,False,
14,1056,baseline,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0,True,5,False,
15,1057,baseline,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0,True,5,False,
16,1058,baseline,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0,True,5,False,
17,1059,baseline,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0,True,5,False,
18,1060,baseline,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0,True,5,False,
19,1061,baseline,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0,True,5,False,
0,1042,dual_trigger,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,5.0,5.0,0.0,True,5,True,15
1,1043,dual_trigger,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0,True,5,True,12
2,1044,dual_trigger,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0,True,5,True,11
3,1045,dual_trigger,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,4.0,4.0,0.0,True,5,True,14
4,1046,dual_trigger,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0,True,5,True,12
5,1047,dual_trigger,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0,True,5,True,12
6,1048,dual_trigger,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,3.0,3.0,0.0,True,5,True,13
7,1049,dual_trigger,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,7.0,7.0,0.0,True,5,True,17
8,1050,dual_trigger,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,3.0,3.0,0.0,True,5,True,13
9,1051,dual_trigger,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,6.0,6.0,0.0,True,5,True,16
10,1052,dual_trigger,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0,True,5,True,11
11,1053,dual_trigger,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0,True,5,True,12
12,1054,dual_trigger,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,3.0,3.0,0.0,True,5,True,13
13,1055,dual_trigger,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0,True,5,True,12
14,1056,dual_trigger,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0,True,5,True,12
15,1057,dual_trigger,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,3.0,3.0,0.0,True,5,True,13
16,1058,dual_trigger,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,3.0,3.0,0.0,True,5,True,13
17,1059,dual_trigger,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,4.0,4.0,0.0,True,5,True,14
18,1060,dual_trigger,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0,True,5,True,12
19,1061,dual_trigger,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0,True,5,True,12
