baseline_name,run_id,seed,precision,recall,detection_rate,f1_score,false_positive_rate,accuracy,tp,fp,fn,tn,avg_detection_latency,avg_evasion_duration,false_quarantine_rate
qtk_baseline,0,2042,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
qtk_baseline,1,2043,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
qtk_baseline,2,2044,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
qtk_baseline,3,2045,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
qtk_baseline,4,2046,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
qtk_baseline,5,2047,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
qtk_baseline,6,2048,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
qtk_baseline,7,2049,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
qtk_baseline,8,2050,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
qtk_baseline,9,2051,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
qtk_baseline,10,2052,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
qtk_baseline,11,2053,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
qtk_baseline,12,2054,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
qtk_baseline,13,2055,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
qtk_baseline,14,2056,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
qtk_baseline,15,2057,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
qtk_baseline,16,2058,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
qtk_baseline,17,2059,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
qtk_baseline,18,2060,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
qtk_baseline,19,2061,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
threshold_detector,0,2042,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,1.0,1.0,0.5
threshold_detector,1,2043,0.3333,1.0,1.0,0.5,1.0,0.3333,1,2,0,0,6.0,6.0,1.0
threshold_detector,2,2044,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,6.0,6.0,0.5
