strategy,run_id,seed,precision,recall,detection_rate,f1_score,false_positive_rate,accuracy,tp,fp,fn,tn,avg_detection_latency,avg_evasion_duration,false_quarantine_rate
naive_rogue,0,4042,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
naive_rogue,1,4043,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
naive_rogue,2,4044,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
naive_rogue,3,4045,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
naive_rogue,4,4046,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
naive_rogue,5,4047,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
naive_rogue,6,4048,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
naive_rogue,7,4049,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
naive_rogue,8,4050,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
naive_rogue,9,4051,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
naive_rogue,10,4052,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
naive_rogue,11,4053,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
naive_rogue,12,4054,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
naive_rogue,13,4055,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
naive_rogue,14,4056,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
naive_rogue,15,4057,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
naive_rogue,16,4058,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
naive_rogue,17,4059,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
naive_rogue,18,4060,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
naive_rogue,19,4061,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
moderate_mimicry,0,4042,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
moderate_mimicry,1,4043,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
moderate_mimicry,2,4044,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,9.0,9.0,0.0
moderate_mimicry,3,4045,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
moderate_mimicry,4,4046,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
moderate_mimicry,5,4047,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
moderate_mimicry,6,4048,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
moderate_mimicry,7,4049,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
moderate_mimicry,8,4050,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
moderate_mimicry,9,4051,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
moderate_mimicry,10,4052,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
moderate_mimicry,11,4053,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
moderate_mimicry,12,4054,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,13.0,13.0,0.0
moderate_mimicry,13,4055,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
moderate_mimicry,14,4056,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
moderate_mimicry,15,4057,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
moderate_mimicry,16,4058,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
moderate_mimicry,17,4059,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
moderate_mimicry,18,4060,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
moderate_mimicry,19,4061,0.0,0.0,0.0,0.0,0.0,0.6667,0,0,1,2,20.0,20.0,0.0
strong_mimicry,0,4042,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
strong_mimicry,1,4043,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
strong_mimicry,2,4044,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,3.0,3.0,0.0
strong_mimicry,3,4045,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
strong_mimicry,4,4046,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,5.0,5.0,0.0
strong_mimicry,5,4047,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
strong_mimicry,6,4048,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
strong_mimicry,7,4049,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
strong_mimicry,8,4050,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
strong_mimicry,9,4051,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,3.0,3.0,0.0
strong_mimicry,10,4052,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
strong_mimicry,11,4053,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
strong_mimicry,12,4054,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
strong_mimicry,13,4055,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
