parameter_group,delta_inact,theta_R,alpha,beta,detection_rate_mean,detection_rate_ci,fpr_mean,fpr_ci,latency_mean,latency_ci,f1_mean,f1_ci
delta_theta,3,0.45,0.8,0.8,1.0,0.0,0.8,0.1847,0.0,0.0,0.5667,0.0616
delta_theta,3,0.55,0.8,0.8,1.0,0.0,0.3,0.1847,0.3,0.3455,0.8,0.1231
delta_theta,3,0.65,0.8,0.8,1.0,0.0,0.15,0.1728,0.8,0.8793,0.9,0.1152
delta_theta,3,0.75,0.8,0.8,1.0,0.0,0.0,0.0,1.1,1.1898,1.0,0.0
delta_theta,3,0.85,0.8,0.8,1.0,0.0,0.0,0.0,1.5,1.3168,1.0,0.0
delta_theta,5,0.45,0.8,0.8,1.0,0.0,0.9,0.1508,0.7,0.7578,0.5333,0.0503
delta_theta,5,0.55,0.8,0.8,1.0,0.0,0.15,0.1728,0.7,0.6786,0.9,0.1152
delta_theta,5,0.65,0.8,0.8,1.0,0.0,0.05,0.1131,0.8,0.8121,0.9667,0.0754
delta_theta,5,0.75,0.8,0.8,1.0,0.0,0.0,0.0,1.0,0.9537,1.0,0.0
delta_theta,5,0.85,0.8,0.8,1.0,0.0,0.05,0.1131,1.4,1.4775,0.9667,0.0754
delta_theta,7,0.45,0.8,0.8,1.0,0.0,0.7,0.3016,0.6,0.6032,0.6333,0.1466
delta_theta,7,0.55,0.8,0.8,1.0,0.0,0.45,0.3132,0.9,0.8564,0.75,0.1614
delta_theta,7,0.65,0.8,0.8,1.0,0.0,0.3,0.3016,0.8,0.9417,0.8333,0.159
delta_theta,7,0.75,0.8,0.8,1.0,0.0,0.05,0.1131,0.3,0.3455,0.9667,0.0754
delta_theta,7,0.85,0.8,0.8,1.0,0.0,0.0,0.0,2.7,2.134,1.0,0.0
delta_theta,10,0.45,0.8,0.8,1.0,0.0,0.95,0.1131,0.0,0.0,0.5167,0.0377
delta_theta,10,0.55,0.8,0.8,1.0,0.0,0.35,0.2944,2.2,1.8407,0.8,0.157
delta_theta,10,0.65,0.8,0.8,1.0,0.0,0.05,0.1131,0.9,0.7872,0.9667,0.0754
delta_theta,10,0.75,0.8,0.8,1.0,0.0,0.1,0.1508,0.8,1.2526,0.9333,0.1005
delta_theta,10,0.85,0.8,0.8,1.0,0.0,0.0,0.0,1.5,0.9079,1.0,0.0
alpha_sweep,5,0.65,0.6,0.8,1.0,0.0,0.25,0.2529,0.6,0.9048,0.85,0.1427
alpha_sweep,5,0.65,0.7,0.8,1.0,0.0,0.4,0.2821,0.7,0.7578,0.7667,0.1508
alpha_sweep,5,0.65,0.8,0.8,1.0,0.0,0.05,0.1131,0.6,0.6032,0.9667,0.0754
alpha_sweep,5,0.65,0.9,0.8,1.0,0.0,0.15,0.1728,0.5,0.9079,0.9,0.1152
